size,runtime
10000,0.0033125877380371094
10000,0.0030565261840820312
10000,0.003297090530395508
10000,0.003125905990600586
10000,0.003217935562133789
20000,0.004664897918701172
20000,0.004676342010498047
20000,0.004909515380859375
20000,0.005249500274658203
20000,0.0055577754974365234
30000,0.008341550827026367
30000,0.007777214050292969
30000,0.007338285446166992
30000,0.006095170974731445
30000,0.006108760833740234
40000,0.007730722427368164
40000,0.00794672966003418
40000,0.008003950119018555
40000,0.007466554641723633
40000,0.00773310661315918
50000,0.009030818939208984
50000,0.009202718734741211
50000,0.009016275405883789
50000,0.009139776229858398
50000,0.008928298950195312
60000,0.010482072830200195
60000,0.010686397552490234
60000,0.010331153869628906
60000,0.010607481002807617
60000,0.010718822479248047
70000,0.012068748474121094
70000,0.012392282485961914
70000,0.012517690658569336
70000,0.012355566024780273
70000,0.012561559677124023
80000,0.01394343376159668
80000,0.013849496841430664
80000,0.01392221450805664
80000,0.013840913772583008
80000,0.013444662094116211
90000,0.014878034591674805
90000,0.01542210578918457
90000,0.015297651290893555
90000,0.015499114990234375
90000,0.015506267547607422
100000,0.01669478416442871
100000,0.01673269271850586
100000,0.016722917556762695
100000,0.016521453857421875
100000,0.01642751693725586
110000,0.01777338981628418
110000,0.018070697784423828
110000,0.017941951751708984
110000,0.017876863479614258
110000,0.01795482635498047
120000,0.019903898239135742
120000,0.019675731658935547
120000,0.01932048797607422
120000,0.01969599723815918
120000,0.019484281539916992
130000,0.021046876907348633
130000,0.020902156829833984
130000,0.021912097930908203
130000,0.02153944969177246
130000,0.020925045013427734
140000,0.02295994758605957
140000,0.022987842559814453
140000,0.022801637649536133
140000,0.022176742553710938
140000,0.022258758544921875
150000,0.02385425567626953
150000,0.02442312240600586
150000,0.023659467697143555
150000,0.02414083480834961
150000,0.024669885635375977
160000,0.025682687759399414
160000,0.025946617126464844
160000,0.026301860809326172
160000,0.025475740432739258
160000,0.026165246963500977
170000,0.026945829391479492
170000,0.02735304832458496
170000,0.027231216430664062
170000,0.026865482330322266
170000,0.027142763137817383
180000,0.028421401977539062
180000,0.028589248657226562
180000,0.028827428817749023
180000,0.0290524959564209
180000,0.028882265090942383
190000,0.030303239822387695
190000,0.03032088279724121
190000,0.030494213104248047
190000,0.030033111572265625
190000,0.030948638916015625
200000,0.03412771224975586
200000,0.03282499313354492
200000,0.03219318389892578
200000,0.031216144561767578
200000,0.03206205368041992
210000,0.033086299896240234
210000,0.03308510780334473
210000,0.03304886817932129
210000,0.033916473388671875
210000,0.03294801712036133
220000,0.0346217155456543
220000,0.03425955772399902
220000,0.03412127494812012
220000,0.0342710018157959
220000,0.03474926948547363
230000,0.03578519821166992
230000,0.036200761795043945
230000,0.035872459411621094
230000,0.03614306449890137
230000,0.036427974700927734
240000,0.03720569610595703
240000,0.03840494155883789
240000,0.03775954246520996
240000,0.0381627082824707
240000,0.03771018981933594
250000,0.03901267051696777
250000,0.03869819641113281
250000,0.039017677307128906
250000,0.04009580612182617
250000,0.039415836334228516
260000,0.040576934814453125
260000,0.04113483428955078
260000,0.04048514366149902
260000,0.04065990447998047
260000,0.04081892967224121
270000,0.04181528091430664
270000,0.04189586639404297
270000,0.041681528091430664
270000,0.041916608810424805
270000,0.04178667068481445
280000,0.04324746131896973
280000,0.043602705001831055
280000,0.043192386627197266
280000,0.04394388198852539
280000,0.043227195739746094
290000,0.044476985931396484
290000,0.044945716857910156
290000,0.044977664947509766
290000,0.04476475715637207
290000,0.044260263442993164
300000,0.0461728572845459
300000,0.047125816345214844
300000,0.04639768600463867
300000,0.04633951187133789
300000,0.0460810661315918
310000,0.047644853591918945
310000,0.0474092960357666
310000,0.04926276206970215
310000,0.047358036041259766
310000,0.047509193420410156
320000,0.050005197525024414
320000,0.04921412467956543
320000,0.0487818717956543
320000,0.04893851280212402
320000,0.04883575439453125
330000,0.052133798599243164
330000,0.05029773712158203
330000,0.05026078224182129
330000,0.05142807960510254
330000,0.05024886131286621
340000,0.05210590362548828
340000,0.0517420768737793
340000,0.051985740661621094
340000,0.05190777778625488
340000,0.05166220664978027
350000,0.053278446197509766
350000,0.053765296936035156
350000,0.05316424369812012
350000,0.053240060806274414
350000,0.05371904373168945
360000,0.05521678924560547
360000,0.056395769119262695
360000,0.05493283271789551
360000,0.05725502967834473
360000,0.054821014404296875
370000,0.056120872497558594
370000,0.056238412857055664
370000,0.05652475357055664
370000,0.05585885047912598
370000,0.05619454383850098
380000,0.057600975036621094
380000,0.05768775939941406
380000,0.05770301818847656
380000,0.05809497833251953
380000,0.057596445083618164
390000,0.05984139442443848
390000,0.05925154685974121
390000,0.05955171585083008
390000,0.059874534606933594
390000,0.05930328369140625
400000,0.060907840728759766
400000,0.061283111572265625
400000,0.06132030487060547
400000,0.06291961669921875
400000,0.060707807540893555
410000,0.06250500679016113
410000,0.06215620040893555
410000,0.0624544620513916
410000,0.06185603141784668
410000,0.06279134750366211
420000,0.06436920166015625
420000,0.06382894515991211
420000,0.06526064872741699
420000,0.06461215019226074
420000,0.06389069557189941
430000,0.0681755542755127
430000,0.0652017593383789
430000,0.06704092025756836
430000,0.0657205581665039
430000,0.06537795066833496
440000,0.06692099571228027
440000,0.0664830207824707
440000,0.06720304489135742
440000,0.06686687469482422
440000,0.06672048568725586
450000,0.06788468360900879
450000,0.06764507293701172
450000,0.06813716888427734
450000,0.06791281700134277
450000,0.06757140159606934
460000,0.0697927474975586
460000,0.06962299346923828
460000,0.06978321075439453
460000,0.06995177268981934
460000,0.06986093521118164
470000,0.07114458084106445
470000,0.07106709480285645
