size,runtime
73728,0.0013501644134521484
73728,0.0009360313415527344
73728,0.0008988380432128906
73728,0.0009064674377441406
73728,0.0009815692901611328
147456,0.0008985996246337891
147456,0.0008740425109863281
147456,0.0008852481842041016
147456,0.0009212493896484375
147456,0.0008771419525146484
294912,0.0009872913360595703
294912,0.0008795261383056641
294912,0.0009527206420898438
294912,0.0008947849273681641
294912,0.0008528232574462891
589824,0.0008301734924316406
589824,0.0008871555328369141
589824,0.0008895397186279297
589824,0.0009064674377441406
589824,0.0008502006530761719
1179648,0.0008947849273681641
1179648,0.0009369850158691406
1179648,0.0008733272552490234
1179648,0.0008525848388671875
1179648,0.0009694099426269531
2359296,0.0009126663208007812
2359296,0.0008792877197265625
2359296,0.0009028911590576172
2359296,0.0008366107940673828
2359296,0.0009307861328125
4718592,0.0008580684661865234
4718592,0.0008609294891357422
4718592,0.0008745193481445312
4718592,0.0008676052093505859
4718592,0.0008723735809326172
9437184,0.0008678436279296875
9437184,0.0008647441864013672
9437184,0.0008158683776855469
9437184,0.0009322166442871094
9437184,0.0009531974792480469
18874368,0.0008575916290283203
18874368,0.0008628368377685547
18874368,0.0009050369262695312
18874368,0.0008366107940673828
18874368,0.0009090900421142578
