size,runtime
73728,0.009334802627563477
73728,0.0012440681457519531
73728,0.001049041748046875
73728,0.0009500980377197266
73728,0.0009176731109619141
147456,0.0009255409240722656
147456,0.0009462833404541016
147456,0.0010170936584472656
147456,0.0009975433349609375
147456,0.0009145736694335938
294912,0.0010080337524414062
294912,0.0009429454803466797
294912,0.000978231430053711
294912,0.0009198188781738281
294912,0.0008981227874755859
589824,0.0008170604705810547
589824,0.0008432865142822266
589824,0.0008900165557861328
589824,0.0009222030639648438
589824,0.0008640289306640625
1179648,0.0009131431579589844
1179648,0.0008170604705810547
1179648,0.0008156299591064453
1179648,0.0008127689361572266
1179648,0.0008573532104492188
2359296,0.0008709430694580078
2359296,0.0008800029754638672
2359296,0.0008134841918945312
2359296,0.0008730888366699219
2359296,0.0007994174957275391
4718592,0.0008511543273925781
4718592,0.0008392333984375
4718592,0.0008451938629150391
4718592,0.0008022785186767578
4718592,0.0008409023284912109
9437184,0.0008268356323242188
9437184,0.0008432865142822266
9437184,0.0007882118225097656
9437184,0.0008895397186279297
9437184,0.0008275508880615234
18874368,0.0008525848388671875
18874368,0.0008885860443115234
18874368,0.0008637905120849609
18874368,0.0007877349853515625
18874368,0.0008993148803710938
