size,runtime
500,0.010116815567016602
1000,0.0062084197998046875
2000,0.007130622863769531
4000,0.010530948638916016
8000,0.010324478149414062
16000,0.021524667739868164
32000,0.03955531120300293
64000,0.0577845573425293
128000,0.11051607131958008
256000,0.23067402839660645
